,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,잠금방식,중량,경보기,지문인식
0,1,184616,"아이이피 디지털 미니금고 i3000, BLACK",21510,274178565,True,1,4.5,711.0,False,아이이피,0,502.0,NULL,NULL,NULL,NULL,NULL
1,2,184616,"디지털 안전 금고 17, 블랙",20070,51410419,True,41,4.5,817.0,False,,0,346.0,17 x 23 x 17 cm,디지털+아날로그,2.7kg,경보기있음,NULL
2,3,184616,귀여운 도둑고양이 저금통,14000,231643117,False,0,4.0,666.0,False,,0,102.0,NULL,NULL,NULL,NULL,NULL
3,4,184616,"엘르시 푸쉬타입 카운터 금고 CS-300E, 블랙",33080,1639401542,True,5,4.5,89.0,False,,0,89.0,NULL,NULL,NULL,NULL,NULL
4,6,184616,"오에이데스크 디지털 충격 감지 안전 금고 50, 블랙",91500,51410456,True,37,4.0,318.0,False,,0,112.0,35 x 30 x 50 cm,디지털+아날로그,14.8kg,경보기있음,NULL
5,8,184616,"아리코 비밀 책 딕셔너리열쇠형 금고, 블랙",9380,2352634,True,54,4.0,244.0,False,아리코,0,123.0,NULL,열쇠/자물쇠,NULL,NULL,NULL
6,9,184616,"디프로매트 콤비 가정용 미니 금고 Combi5, 티타늄블랙",147790,295988579,False,8,4.5,41.0,False,디프로매트,0,38.0,NULL,디지털방식,NULL,경보기없음,불가
7,10,184616,범일금고 슬라이딩형 C-305,46100,524121,False,0,4.5,240.0,False,범일금고,0,39.0,330 x 400 x 160mm,다이얼방식,NULL,NULL,NULL
8,11,184616,"선일금고 디지털 내화금고 ESV200 63kg, 레드",267800,11673651,False,16,4.5,490.0,False,선일금고,0,164.0,536x410x445mm,디지털방식,63kg,NULL,NULL
9,12,184616,"민스리빙 책금고 미니금고 소형 비밀금고 휴대용 금고, 책금고(대형:암호형)네이비",11490,132692268,False,0,4.5,195.0,False,민스리빙,0,109.0,대형 26.5 X 20 X 6.5 약990g,다이얼방식,NULL,NULL,NULL
10,13,184616,"아이이피 지문인식 소형 미니금고 i3500FP, 블랙",79800,2310857745,False,0,4.5,80.0,False,아이이피,0,80.0,NULL,NULL,NULL,NULL,지문인식 가능
11,14,184616,"베스트데코 스틸 미니 열쇠 타입 금고 대, 화이트",16020,1499468283,True,1,4.5,51.0,False,베스트데코,0,43.0,NULL,NULL,NULL,NULL,NULL
12,15,184616,"빅드림 북세이프 비밀금고, 랜덤 발송",11010,1689412,True,31,4.5,291.0,False,빅드림,0,50.0,245 x 55 x 155 mm,열쇠/자물쇠,NULL,NULL,NULL
13,16,184616,"범일금고 다이얼식 슬라이딩 금고 C-305R, 적색",37700,5341221639,True,6,4.5,322.0,False,범일금고,0,62.0,H 150 x W 330 x D 390 cm,다이얼방식,NULL,NULL,NULL
14,17,184616,"아이이피 지문인식 음성지원 스마트금고 i3800FP, 블랙",165540,1246320099,False,7,4.5,38.0,False,아이이피,0,37.0,NULL,NULL,NULL,NULL,NULL
15,18,184616,"히든템 비밀 미니 책금고 소, 블랙",5430,4804905023,True,3,4.5,23.0,False,히든템,0,23.0,NULL,NULL,NULL,NULL,NULL
16,19,184616,"엘르시 푸쉬타입 카운터 금고 CS-3538E, 아이보리 화이트",36690,1639413498,True,6,4.0,16.0,False,,0,16.0,NULL,NULL,NULL,NULL,NULL
17,20,184616,"2단 미니 카운터 금고 CASH-300, 메탈블랙",99000,36233222,False,38,4.5,138.0,False,,0,39.0,NULL,NULL,NULL,NULL,NULL
18,21,184616,"예일 미니금고 YSV/170/D, 핑크",59000,53678633,True,0,4.5,104.0,False,예일,0,56.0,170 x 230 x 170 mm,디지털+아날로그,4.6kg,경보기없음,NULL
19,22,184616,"(내부설치배송)디프로매트금고 NEW 580AT 아트디자인 터치스크린 디지털 강력 내화금고 가정용금고 사무용금고 내화인증 경보기장착 서랍1 선반1, MD(몬드리안구성)",298000,5347779896,False,30,5.0,4.0,False,디프로매트,0,4.0,NULL,디지털방식,58,경보기있음,NULL
20,23,184616,"오에이데스크 디지털 충격 감지 안전 금고 20, 블랙",34510,51410430,True,34,4.0,189.0,False,,0,43.0,20 x 31 x 20 cm,디지털+아날로그,4.4kg,경보기있음,NULL
21,24,184616,"엘르시 터치식 사무용 가정용 금고 ELS-450P, 화이트",144530,2280768442,True,5,4.0,19.0,False,엘르시,0,19.0,NULL,NULL,NULL,NULL,지문인식 불가능
22,26,184616,"금전함 소형돈통 돈통 포스돈통 카운터금고 개업선물 캐쉬박스 포스돈통 전자금고, 가로33.5CMx세로36.6CMx폭8CM, 블랙",35000,4594867826,False,0,5.0,6.0,False,,"2,800",6.0,NULL,NULL,NULL,NULL,NULL
23,27,184616,"오에이데스크 디지털 충격 감지 안전 금고 25, 블랙",34510,51410440,True,55,4.0,83.0,False,,0,31.0,25 x 35 x 25 cm,디지털+아날로그,6.7kg,경보기있음,NULL
24,28,184616,"부자오빠 자물쇠 소형금고 미니돈통 수납함, 돈통(소형)_레드",9800,305553091,False,0,4.0,16.0,False,부자오빠,0,6.0,NULL,NULL,NULL,NULL,NULL
25,29,184616,"빅드림 북세이프 휴대용 책금고 다이얼타입 특대, 에펠탑",11770,2082517609,True,6,4.5,50.0,False,빅드림,0,45.0,NULL,NULL,NULL,NULL,NULL
26,32,184616,"엘르시 터치금고 ELS-350H, 블랙",98500,1366126476,True,0,4.5,48.0,False,엘르시,0,40.0,NULL,NULL,NULL,NULL,지문인식 불가능
27,33,184616,"선일 수제금고 SC-2000 돈통 캐시박스 카운터금고 데스크금고, 골드",55500,205876439,False,0,4.5,19.0,False,,"4,000",14.0,NULL,NULL,NULL,NULL,NULL
28,36,184616,"디지털 지폐투입구 안전 금고 17D, 블랙",24270,51410424,True,37,4.5,601.0,False,,0,187.0,17 x 23 x 17 cm,디지털+아날로그,2.7kg,경보기있음,NULL
29,37,184616,"스토리빙 비밀 책금고 대, 블루",9430,4615886622,True,0,4.0,21.0,False,,0,21.0,NULL,NULL,NULL,NULL,NULL
30,38,184616,"선일금고 가정용금고 YES-031D, 블랙",243200,14551323,False,15,5.0,254.0,False,선일금고,0,189.0,536*410*445,디지털방식,63kg,경보기있음,NULL
31,39,184616,"디프로매트금고 소형금고 미니금고 가정용금고 사무용금고 개인보관함 비밀금고 개업선물, P101-메탈릭실버",54900,16414829,False,19,4.5,96.0,False,,0,24.0,H200 x W310 x D200mm,디지털방식,8kg,NULL,지문인식불가
32,40,184616,"유니언잭 북세이프 비밀금고 특대, 혼합 색상, 1개",13150,6617398,True,26,4.5,71.0,False,빅드림,0,34.0,NULL,열쇠/자물쇠,NULL,NULL,NULL
33,41,184616,"(직접설치배송)디프로매트 가정용 매직터치 개인 내화 강력보안금고 아이스텔라 S500, 2층이상(엘리베이터O), 블랙",395000,5079696226,False,35,5.0,3.0,False,,0,3.0,522 x 404 x 470 (mm),디지털방식,60kg,있음,NULL
34,42,184616,"디프로매트 크리스탈 가정용 내화금고 K400, 다크 그레이",173500,335739623,False,29,5.0,1.0,False,디프로매트,"30,000",1.0,NULL,NULL,NULL,NULL,NULL
35,43,184616,"[BSM BUMIL] 금전통 EC-350/금고/POS포스돈통/전자식, 단품",47900,71692378,False,0,4.5,6.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL
36,44,184616,"루셀 터치스크린 내화금고 63kg IS-500 방문설치 + 건전지 6p, 네이비",489990,2070936157,True,0,4.0,7.0,False,루셀,0,7.0,NULL,NULL,NULL,NULL,NULL
37,45,184616,"홈트너 누보세이프 소형 미니 스마트 지문 인식 금고, 블랙",173260,1441264126,False,0,4.5,62.0,False,홈트너,0,52.0,NULL,NULL,NULL,NULL,지문인식 가능
38,47,184616,"비밀 책 금고 비밀번호 대형, 블랙",9430,4590283537,True,0,4.5,11.0,False,히든템,0,11.0,NULL,NULL,NULL,NULL,NULL
39,50,184616,"스토리빙 비밀 책금고 중, 블루",7430,4615886898,True,2,4.0,9.0,False,히든템,0,9.0,NULL,NULL,NULL,NULL,NULL
40,52,184616,"[K&J 금고] 카운터금고 포스겸용금고 수제금고 모음, C-330 포스겸용_레드",38800,4319762181,False,28,4.5,15.0,False,,"2,700",12.0,NULL,NULL,NULL,NULL,NULL
41,53,184616,"캐쉬박스/미니금고, 레드",9900,410853,False,0,4.0,63.0,False,,0,13.0,소,열쇠/자물쇠,NULL,NULL,NULL
42,54,184616,"오에이데스크 디지털 충격 감지 안전 금고 30D 지폐 투입구, 블랙",61680,51410454,True,48,4.5,21.0,False,,0,10.0,NULL,디지털+아날로그,NULL,NULL,NULL
43,56,184616,선일금고 설치배송 3색상 루셀 NEW ES-035 블랙 아이보리 금고,327000,1195747215,False,0,5.0,16.0,False,,0,14.0,NULL,디지털방식,100kg,경보기있음,NULL
44,57,184616,"비밀 책금고 개인 미니 책 금고 저금통, (책금고 열쇠{소] 블랙)",7900,1516723,False,0,4.5,138.0,False,,0,20.0,NULL,열쇠/자물쇠,NULL,NULL,NULL
45,58,184616,"가정용 도난방지 미니 전자식 소형 금고 지갑 보관, 지문인식 골드",112400,1786879857,False,0,4.5,9.0,False,아이엘,0,9.0,NULL,NULL,NULL,NULL,지문인식 가능
46,59,184616,"북세이프 비밀번호형 책금고 저금통 대, 네이비",8990,1801739642,False,0,4.5,64.0,False,,0,15.0,NULL,NULL,NULL,NULL,NULL
47,60,184616,"선일금고 SC-2000W 슬라이딩형금고/수제금고, SC-2000B [블랙]",57400,9533540,False,0,4.5,14.0,False,선일금고,0,2.0,NULL,다이얼방식,NULL,NULL,NULL
48,63,184616,"제이앤케이 북세이프 열쇠형 책금고 대, 네이비",12890,2128852422,True,2,4.5,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL
49,64,184616,"루셀금고 스마트 프리미엄 금고 ESV-500 (무료설치배송), ESV-500 블랙",490000,4847802064,False,0,4.5,8.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL
50,65,184616,"엘르시 가정용 와이드형 지문인식금고 ELS-430F, 블랙",130000,1366126475,False,0,4.5,30.0,False,엘르시,0,21.0,NULL,NULL,NULL,NULL,지문인식 가능
51,67,184616,"오에이데스크 디지털 충격 감지 안전 금고 30, 블랙",66770,51410448,True,38,4.0,75.0,False,,0,35.0,30 x 38 x 30 cm,디지털+아날로그,11.1kg,경보기있음,NULL
52,68,184616,"이글세이프 선일 가정용금고 ESV100 ESV200 시리즈, 선일금고 ESV100",218800,11867338,False,0,4.5,146.0,False,이글세이프,0,39.0,NULL,디지털방식,40kg,경보기있음,NULL
53,69,184616,"선일금고 디지털내화 금고 YES-M020, 블랙",205800,3661331,False,27,4.5,106.0,False,선일금고,0,20.0,"외부 : 360 x 424 x 385mm, 내부 : 245 x 325 x 260mm",디지털방식,40kg,NULL,NULL
54,70,184616,"엘르시 지문인식 사무용 가정용 금고 ELS-450F, 블랙",162360,2280768425,True,6,3.5,7.0,False,엘르시,0,7.0,NULL,NULL,NULL,NULL,지문인식 가능
55,71,184616,"범일금고 터치식 슬라이딩금고 캐쉬박스, C-290(연회색)",46800,6830861,False,0,4.5,106.0,False,범일금고,"4,000",24.0,H100 x W290 x d300,열쇠/자물쇠,NULL,NULL,NULL
56,72,184616,"빅드림 북세이프 휴대용 책금고 다이얼타입 대, 홀리바이블",11770,2082517612,True,0,4.5,13.0,False,빅드림,0,11.0,NULL,NULL,NULL,NULL,NULL
57,74,184616,"선일금고 루셀 NEW ES-065 디지털 내화금고 137kg 서랍1개 선반1개, 아이보리",390000,1119695528,False,30,5.0,4.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
58,75,184616,"디프로매트 디지털 금고 WS500, 옐로우",324000,83900085,False,0,5.0,21.0,False,,0,9.0,NULL,NULL,NULL,NULL,NULL
59,79,184616,"비밀 책 금고 비밀번호 중형, 네이비",7430,4590284847,True,2,4.0,17.0,False,히든템,0,17.0,NULL,NULL,NULL,NULL,NULL
60,82,184616,"모던 메탈 레트로 미니 캐비넷 저금통 금고, 화이트",18900,2070760224,True,6,3.5,9.0,False,,0,9.0,NULL,NULL,NULL,NULL,NULL
61,83,184616,"보냄 책금고-소 비밀금고 소형금고, 네이비",6800,724442,False,0,4.5,51.0,False,,0,11.0,NULL,NULL,NULL,NULL,NULL
62,84,184616,비밀이야 열쇠 다용도 보관함 그린,5500,145214918,False,0,4.5,6.0,False,,"3,000",4.0,NULL,NULL,NULL,NULL,NULL
63,85,184616,"개인금고 수제철재금고 돈통 사무용금고 가정용금고(C-320), 기본",40000,312852487,False,0,5.0,4.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL
64,87,184616,"선일금고 루셀 NEW ES-035 디지털 내화금고 100kg 서랍1개 선반1개, 아이보리",327000,1119384732,False,33,4.0,12.0,False,,0,10.0,NULL,NULL,NULL,NULL,NULL
65,88,184616,범일금고 C-320 오픈형금고/카운터금고,41400,245120700,False,0,5.0,4.0,False,범일금고,0,,NULL,NULL,NULL,NULL,NULL
66,89,184616,"범일 수제금고 카운터금고 NC-350 슬라이딩 매장금고 돈통 소형금고, 본품",59000,9533598,False,0,4.5,7.0,False,,0,2.0,NULL,다이얼방식,NULL,NULL,NULL
67,90,184616,"제이앤케이 북세이프 열쇠형 책금고 소, 레드",7750,2128851423,False,0,4.0,10.0,False,,0,10.0,NULL,NULL,NULL,NULL,NULL
68,91,184616,"스틸박스 철재 열쇠 휴대용 금고 소, 레드",12370,1499506561,True,2,4.0,9.0,False,베스트데코,0,8.0,NULL,NULL,NULL,NULL,NULL
69,92,184616,"내마우스 디지털충격감지 안전금고50D(지폐투입구), 블랙[NO378]",106500,52206431,False,0,4.5,5.0,False,,0,,NULL,NULL,NULL,NULL,NULL
70,93,184616,"디지털금고 17E 저금통 비밀금고 미니금고 가정용금고, 금고17E-핑크",24900,185042565,False,0,4.0,29.0,False,,0,22.0,NULL,NULL,NULL,NULL,NULL
71,94,184616,"비밀 미니 다이얼 책 금고 대형, 레드",15900,4656044866,False,0,4.5,6.0,False,,"2,500",5.0,NULL,NULL,NULL,NULL,NULL
72,95,184616,"민스리빙 책금고 미니금고 소형 비밀금고 북세이프 현금금고 휴대용 금고, 책금고(소형:열쇠형)머스타드",5500,1635432993,False,0,5.0,19.0,False,민스리빙,"2,500",19.0,NULL,NULL,NULL,NULL,NULL
73,96,184616,범일금고 돈통내피 EC-350 EC-410 내피 금전함,17000,2855949,False,0,4.5,24.0,False,범일금고,"2,500",5.0,NULL,NULL,NULL,NULL,NULL
74,97,184616,"부자오빠 자물쇠 소형금고 미니돈통 수납함, 돈통(중형)_블랙",11400,304948440,False,0,4.5,10.0,False,부자오빠,0,7.0,20 x 16 x 9cm,열쇠/자물쇠,NULL,NULL,NULL
75,98,184616,"오에이데스크 디지털 충격 감지 안전 금고 20D 지폐 투입구, 블랙",34510,51410437,True,42,4.5,64.0,False,,0,21.0,20 x 31 x 20 cm,디지털+아날로그,4.4kg,경보기있음,NULL
76,102,184616,"선일금고 ES-100, 그레이콤비",459000,179599312,False,0,4.5,6.0,False,선일금고,"66,000",5.0,NULL,NULL,NULL,NULL,NULL
77,103,184616,"금고몰 미니금고 KJ-17ET, 블랙",39000,4925688368,False,0,4.0,10.0,False,,"2,700",1.0,"170 x 230 x 170 mm(외부), 164 x 224 x 104 mm(내부)",NULL,3kg,NULL,NULL
78,105,184616,"블루마토 다용도 보관함 M100A, 랜덤 발송",8320,24760767,True,11,3.5,20.0,False,,0,2.0,125 x 95 x 55 mm,열쇠/자물쇠,NULL,NULL,NULL
79,107,184616,"에코DIY 사전형 안전 금고, 혼합 색상",9300,167220928,False,0,4.5,32.0,False,,0,13.0,NULL,NULL,NULL,NULL,NULL
80,108,184616,"빅드림 런던빅벤 휴대용 책금고 다이얼타입 대, 혼합색상",11770,1748519404,True,0,4.5,12.0,False,,0,11.0,NULL,NULL,NULL,NULL,NULL
81,110,184616,"스토리빙 비밀 책금고 중, 레드",7430,4656045172,True,2,5.0,4.0,False,히든템,0,4.0,NULL,NULL,NULL,NULL,NULL
82,112,184616,"선일금고 SC-3000B 슬라이딩형금고 카운터금고, SC-3000, SC-3000G [골드]",66000,3653500,False,0,4.5,15.0,False,선일금고,0,6.0,NULL,다이얼방식,NULL,NULL,NULL
83,113,184616,"KJ-580 지문금고 경보장치내장 4중 강철프레임, KJ-580_지문",399000,4352984686,False,31,4.0,8.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL
84,115,184616,"범일금고 신제품 ESD105A, 그레이콤비",316000,212351425,False,0,4.5,3.0,False,범일금고,0,2.0,NULL,NULL,NULL,NULL,NULL
85,116,184616,"디지털 저금통 미니 금고 생일 새해선물 지문 스마트, 4번",13400,1156832574,False,22,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL
86,118,184616,"국산 K급주방소화기4kg 국산 K급 주방 소화기4kg 용소화기, 본상품선택",125060,5505410261,False,0,,,False,,"4,000",,NULL,NULL,NULL,NULL,NULL
87,121,184616,"가구클럽 신형슬라이드금고, 레드",68000,13899698,False,43,4.0,6.0,False,가구클럽,0,1.0,W330*D410*H160,다이얼방식,4.9kg,경보기없음,NULL
88,122,184616,"히든템 비밀 미니 책 금고 대형, 블루",9450,4832641961,True,0,5.0,1.0,False,히든템,0,1.0,NULL,NULL,NULL,NULL,NULL
89,123,184616,"오에이데스크 지문 인식 안전 금고 25, 블랙",85170,51410467,True,36,4.5,94.0,False,,0,28.0,25 x 35 x 25 cm,디지털+아날로그,8.5kg,NULL,지문인식 가능
90,124,184616,"블루마토 다용도 보관함 M200A, 랜덤 발송",13770,24760774,True,5,4.0,26.0,False,,0,7.0,200 x 160 x 90 mm,열쇠/자물쇠,NULL,NULL,NULL
91,126,184616,"범일 디지털 내화금고 ESD-103T 세로형 51kg 이중잠금, 본품",183900,9533573,False,0,4.0,43.0,False,,0,10.0,NULL,디지털방식,51kg,NULL,NULL
92,127,184616,"아이이피 i3700FP 스마트 지문인식금고, 스마트금고 i3700 (블랙)",116000,1246256096,False,30,4.5,5.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
93,128,184616,"선일금고 루셀 NEW YES-031DF 친절한 음성안내 지문인식 내화금고 63kg 서랍 선반 경보기장착 가정 사무용, YES-031DF 지문인식 블랙",351000,4941254590,False,27,4.0,3.0,False,선일금고,0,3.0,NULL,NULL,NULL,경보기있음,지문인식 가능
94,131,184616,"아이이피 i3200 중형금고 가정용 사무용 디지털금고 저금통, 화이트",32800,2000965479,False,21,4.0,26.0,False,아이이피,0,3.0,NULL,디지털방식,NULL,경보기있음,NULL
95,132,184616,"선일 수제금고 카운터금고 SC-2000G 버튼 슬라이딩 매장금고 돈통 소형금고, 본품",53700,9533539,False,0,4.5,6.0,False,,0,2.0,NULL,다이얼방식,NULL,NULL,NULL
96,133,184616,"엘르시 지문금고 ELS-350F, 블랙",106530,1366126462,True,3,5.0,14.0,False,엘르시,0,12.0,NULL,NULL,NULL,NULL,NULL
97,134,184616,"에이엘비 SECRETBOOK 책금고, 06.책금고_소형_비밀번호_와인(c)",11400,22012714,False,0,4.5,97.0,False,,0,12.0,NULL,열쇠/비밀번호,NULL,NULL,NULL
98,137,184616,"제이앤케이 비밀번호형 책 금고 중, 네이비",9890,8714764,False,0,4.0,43.0,False,,0,6.0,중 (15 x 24 x 5.5 cm),다이얼방식,NULL,NULL,NULL
99,139,184616,"빅드림 런던빅벤 휴대용 책금고 다이얼타입 특대, 혼합색상",14130,1748519324,True,10,5.0,9.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL
100,140,184616,"루셀금고 신제품 스마트 프리미엄 가정용 금고 ESV-500 무료방문설치, ESV-500 레드와인",490000,4854787836,False,0,5.0,1.0,False,선일금고,0,1.0,NULL,NULL,NULL,NULL,NULL
101,141,184616,"디프로매트 지문인식 내화금고 비욘드 BY500 프리미엄 방도 경보시스템 자동잠금, 샴페인골드",499000,1129956666,False,0,4.5,2.0,False,디프로매트,"30,000",1.0,NULL,지문인식+터치락,60kg,NULL,지문인식 가능
102,142,184616,"선일금고 YES-031D POS-031D ESV200 내화금고커버, 금고커버 베이지",29440,1093232250,False,20,4.0,16.0,False,선일금고,0,12.0,NULL,NULL,NULL,NULL,NULL
103,143,184616,"컴스 가정용 미니 금고 ST169, 블랙",55280,4389532511,True,5,4.0,16.0,False,컴스,0,4.0,NULL,NULL,NULL,NULL,NULL
104,145,184616,"카피어랜드 가정용 금고 CES-20, BLUE",36100,199406174,True,37,4.0,30.0,False,카피어랜드,0,14.0,NULL,NULL,NULL,NULL,NULL
105,146,184616,"북세이프 책모양 금고 귀중품 비상금 개인용품 저금통, 책금고/비번형/네이비(소형)",8800,1316852882,False,0,4.0,11.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL
106,147,184616,"범일금고 디지털 다이얼 슬라이딩금고 NC-350 ND-350, NC-350HR(적색,2단,다이얼), 다이얼2단",71700,524123,False,0,4.5,85.0,False,범일금고,0,11.0,다이얼2단,다이얼방식,NULL,NULL,NULL
107,149,184616,"선일금고 이볼브 EV-040 가정용금고 보석함증정 직접설치배송 고객날짜지정가능 선일가정용내화금고, SG골드스트라이프+계단배송",491000,5248826575,False,0,5.0,9.0,False,선일금고,0,7.0,NULL,NULL,NULL,NULL,NULL
108,151,184616,"엘르시 미니 금고 ELS-230H, 블랙",31880,263900510,True,4,4.5,3.0,False,엘르시,0,3.0,NULL,NULL,NULL,NULL,NULL
109,153,184616,"엘르시 가정용 금고 ELS-600H 소형 개인, ELS-600H(터치)블랙",198700,2372542171,False,43,4.0,4.0,False,엘르시,0,4.0,NULL,NULL,NULL,NULL,NULL
110,155,184616,"선일금고 ES-065 금고, 그레이콤비(기본) / 기본디지털락",390000,11110059,False,0,5.0,4.0,False,선일금고,0,3.0,NULL,디지털+아날로그,NULL,NULL,NULL
111,157,184616,"아리코 비밀 책 딕셔너리암호형 금고, 옐로우",12440,2352637,True,40,4.0,86.0,False,아리코,0,19.0,NULL,다이얼방식,NULL,NULL,NULL
112,158,184616,"아이이피 i3600FP 지문인식/음성지원 스마트금고, 화이트",118000,4746048006,False,0,4.0,4.0,False,아이이피,0,4.0,NULL,NULL,NULL,NULL,NULL
113,159,184616,"스틸박스 철재 열쇠 휴대용 금고 대, 블루",12430,1499506485,False,2,4.0,15.0,False,부자오빠,0,3.0,NULL,NULL,NULL,NULL,NULL
114,160,184616,"엘르시 디지털 금고 지문인식 ELS-600F, 화이트",210380,2202168120,False,0,4.0,11.0,False,엘르시,0,3.0,NULL,NULL,NULL,NULL,지문인식 가능
115,161,184616,이글코리아 미니수제 금고/중/668M/이중잠금/미니금고,24000,450246,False,0,5.0,2.0,False,,0,1.0,NULL,다이얼방식,NULL,NULL,NULL
116,162,184616,"범일 EC-350 돈통내피, 단품",17250,1490492517,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
117,163,184616,"파파스 미니금고 소형금고 비밀금고 책금고, 사전금고(15.8x24.3cm)",8900,248294967,False,0,4.0,5.0,False,파파스,0,3.0,NULL,NULL,NULL,NULL,NULL
118,165,184616,"범일금고 다이얼식 슬라이딩 금고 C-305B, 블랙",42830,5341224211,True,0,4.5,81.0,False,범일금고,0,9.0,330 x 390 x 150 mm,다이얼방식,NULL,NULL,NULL
119,166,184616,"디프로매트금고 080TFL 122kg 지문인식금고, 080TFL [블랙]",523600,12284177,False,0,5.0,2.0,False,,0,,NULL,디지털방식,122kg,경보기있음,지문인식 가능
120,169,184616,"엘르시 국민금고 블랙시리즈 가정용금고 소형 개인용, ELS-20H",49800,4934053037,False,28,4.0,7.0,False,,0,7.0,NULL,디지털방식,7kg,경보기없음,NULL
121,173,184616,"엘르시 지문 금고 ELS-350F, 화이트",110000,229402144,True,0,3.0,4.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
122,175,184616,"[K&J 금고] KP시리즈 열쇠보관함 열쇠형 비밀번호형 소형금고, KP-20(K)",9800,21480505,False,0,5.0,10.0,False,,"2,700",5.0,NULL,열쇠/자물쇠,NULL,NULL,NULL
123,176,184616,"아크 디지털금고 25EDA 가정용금고 미니금고 대형 비밀금고, 금고 25EDA 화이트",56900,185022083,False,24,4.0,34.0,False,,0,,NULL,NULL,NULL,NULL,NULL
124,179,184616,"선일금고 루셀 WOUP-060 직접설치배송 스마트금고 100kg 두꺼운빗장알 선일루셀 lucell 선일가정용금고 부모님선물 입주선물 방문설치배송, 레드플라워 NW",1370000,248305012,False,0,5.0,4.0,False,선일금고,0,3.0,NULL,디지털방식,100kg,경보기있음,NULL
125,182,184616,"[K&J 금고] 와이드 철재 열쇠보관함 10구~200구 미니금고 열쇠함 금고 소형금고, KP-W60(P)_블랙",36300,167688454,False,0,5.0,3.0,False,,"2,700",2.0,NULL,NULL,NULL,NULL,NULL
126,183,184616,"선일 수제금고 SC-3000 캐시박스 카운터금고 데스크금고 가게금고 돈통, 블랙",69000,1179898126,False,0,5.0,5.0,False,,"4,000",4.0,NULL,NULL,NULL,NULL,NULL
127,185,184616,"철재금고 30cm빅대형 사이즈, 레드",15700,24138823,False,0,4.5,37.0,False,,"2,500",10.0,300X240X90mm,열쇠/자물쇠,NULL,NULL,NULL
128,186,184616,"미니금고 소형금고 범일금고(C203), 기본",38500,312849406,False,0,5.0,4.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL
129,187,184616,"아리코 비밀 책 열쇠형 금고, 빈티지우드",13600,2352638,True,45,4.5,177.0,False,아리코,0,33.0,24.1 x 15.7 x 5.5 cm,열쇠/자물쇠,NULL,NULL,NULL
130,188,184616,"제이앤케이 북세이프 비밀번호형 책금고 소, 네이비",6800,2128850690,False,0,4.0,6.0,False,,0,6.0,NULL,NULL,NULL,NULL,NULL
131,189,184616,"범일금고 EC-410 포스 금전함 돈통, Black",39000,230771253,False,0,5.0,3.0,False,범일금고,"4,000",1.0,NULL,NULL,NULL,NULL,NULL
132,190,184616,"가정용금고 미니 소형 개인 비밀 디지털 금고 17E블랙, 금고17E-블랙",24900,184979967,False,0,4.5,8.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL
133,192,184616,사계절공간연출 범일금고 슬라이딩C-305 쥐색 빨강색,44900,85130659,False,0,4.5,75.0,False,,착불배송,2.0,NULL,NULL,NULL,NULL,NULL
134,195,184616,"범일 수제금고 돈통 슬라이딩금고 캐쉬박스, 1.범일C-320",42300,205988605,False,0,4.5,3.0,False,범일,"4,000",2.0,NULL,NULL,NULL,NULL,NULL
135,197,184616,"[K&J 금고] 이중금고 2D금고 마약금고 병원 약국 약품금고 철제금고, KJ-30(2D)",176000,36493118,False,0,4.5,3.0,False,,"2,500",3.0,380*300*300,디지털방식,13g,NULL,NULL
136,199,184616,"철제 금고 대형, 레드",16000,5237967063,True,0,,,False,,0,,대형(30 x 24 x 9 cm),열쇠/자물쇠,NULL,NULL,NULL
